Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer,Chrome 131.0.0.0,,,17-01-2025 16:59:22,17-01-2025 17:03:59,4m - 36.488s,PASSED
,,,,,,,
Test Cases/Customer/RegressionTest_VerifyCustomerPage_ElementsArePresent,Chrome 131.0.0.0,,,17-01-2025 16:59:32,17-01-2025 16:59:45,13.745s,PASSED
Start listener action : BeforeTestCase,Chrome 131.0.0.0,,,17-01-2025 16:59:32,17-01-2025 16:59:32,0.004s,PASSED
"verifyElementPresent(findTestObject(""img_Content"", [""src"":""/static/images/logos/baf.svg""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:32,17-01-2025 16:59:33,1.033s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:33,17-01-2025 16:59:34,0.427s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/a[1]/div[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:34,17-01-2025 16:59:34,0.666s,PASSED
"verifyLinksAccessible([""https://api.whatsapp.com/send/?phone=628118018873&text&type=phone_number&app_absent=0""])",Chrome 131.0.0.0,,,17-01-2025 16:59:34,17-01-2025 16:59:38,3.412s,PASSED
closeWindowIndex(1),Chrome 131.0.0.0,,,17-01-2025 16:59:38,17-01-2025 16:59:38,0.146s,PASSED
switchToWindowIndex(0),Chrome 131.0.0.0,,,17-01-2025 16:59:38,17-01-2025 16:59:38,0.089s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""FAST PROCESS, RIGHT INSTALLMENT!""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:38,17-01-2025 16:59:38,0.354s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""PROMOS AND LATEST NEWS""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:38,17-01-2025 16:59:39,0.327s,PASSED
"focus(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[4]/div[5]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:39,17-01-2025 16:59:40,0.938s,PASSED
"focus(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[5]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:40,17-01-2025 16:59:40,0.440s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:40,17-01-2025 16:59:40,0.437s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[2]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:40,17-01-2025 16:59:41,0.460s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[3]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:41,17-01-2025 16:59:42,1.110s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[4]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:42,17-01-2025 16:59:43,0.981s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[5]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:43,17-01-2025 16:59:44,1.102s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[5]/div[1]/div[1]/div[2]/a[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:44,17-01-2025 16:59:45,0.885s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[6]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:45,17-01-2025 16:59:45,0.466s,PASSED
Start listener action : AfterTestCase,Chrome 131.0.0.0,,,17-01-2025 16:59:45,17-01-2025 16:59:45,0.002s,PASSED
,,,,,,,
Test Cases/Customer/Product/RegressionTest_VerifyAgriculturalMachineryFinancingPage_ElementsArePresent,Chrome 131.0.0.0,,,17-01-2025 16:59:46,17-01-2025 17:00:13,27.940s,PASSED
Start listener action : BeforeTestCase,Chrome 131.0.0.0,,,17-01-2025 16:59:46,17-01-2025 16:59:46,0.002s,PASSED
"click(findTestObject(""link_Content"", [""href"":""#"", ""text"":""Product""]))",Chrome 131.0.0.0,"Click Menu ""Product""",,17-01-2025 16:59:46,17-01-2025 16:59:46,0.417s,PASSED
"click(findTestObject(""link_Content"", [""href"":""/product/MesinPertanian"", ""text"":""Agricultural Machinery Financing""]))",Chrome 131.0.0.0,"Click Menu ""Agricultural Machinery Financing""",,17-01-2025 16:59:46,17-01-2025 16:59:48,1.855s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Agricultural Machinery Financing""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:48,17-01-2025 16:59:50,1.718s,PASSED
"verifyElementPresent(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[1]""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:50,17-01-2025 16:59:50,0.284s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Check estimated monthly installments for Agricultural Machinery Financing, Simulation Here!""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:50,17-01-2025 16:59:51,0.280s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[2]/h3[1]""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:51,17-01-2025 16:59:51,0.314s,PASSED
"setText(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/input[1]""]), Keys.chord(""70 VW"", ENTER))",Chrome 131.0.0.0,,,17-01-2025 16:59:51,17-01-2025 16:59:52,0.762s,PASSED
"setText(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/input[1]""]), Keys.chord(""Yanmar"", ENTER))",Chrome 131.0.0.0,,,17-01-2025 16:59:52,17-01-2025 16:59:53,1.286s,PASSED
"setText(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[1]/input[1]""]), Keys.chord(""Palembang"", ENTER))",Chrome 131.0.0.0,,,17-01-2025 16:59:53,17-01-2025 16:59:54,1.285s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Success""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:54,17-01-2025 16:59:56,1.551s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Successfully Retrieved OTR Price Data""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:56,17-01-2025 16:59:56,0.270s,PASSED
"click(findTestObject(""lbl_Content"", [""text"":""OK""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:56,17-01-2025 16:59:56,0.385s,PASSED
"setText(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/input[1]""]), Keys.chord(""25"", ENTER))",Chrome 131.0.0.0,,,17-01-2025 16:59:56,17-01-2025 16:59:57,0.741s,PASSED
"setText(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[5]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/input[1]""]), Keys.chord(""30%"", ENTER))",Chrome 131.0.0.0,,,17-01-2025 16:59:57,17-01-2025 16:59:59,1.460s,PASSED
"scrollToElement(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[1]/label[1]""]), 10)",Chrome 131.0.0.0,,,17-01-2025 16:59:59,17-01-2025 16:59:59,0.497s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/form[1]/div[7]/button[1]""]))",Chrome 131.0.0.0,,,17-01-2025 16:59:59,17-01-2025 17:00:00,0.384s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Success""]), 10)",Chrome 131.0.0.0,,,17-01-2025 17:00:00,17-01-2025 17:00:01,1.351s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Successfully Retrieved Installment Data""]), 10)",Chrome 131.0.0.0,,,17-01-2025 17:00:01,17-01-2025 17:00:01,0.293s,PASSED
"click(findTestObject(""lbl_Content"", [""text"":""OK""]))",Chrome 131.0.0.0,,,17-01-2025 17:00:01,17-01-2025 17:00:02,0.484s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Your Monthly Installment Estimation""]), 10)",Chrome 131.0.0.0,,,17-01-2025 17:00:02,17-01-2025 17:00:02,0.317s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""19.145.864""]), 10)",Chrome 131.0.0.0,,,17-01-2025 17:00:02,17-01-2025 17:00:02,0.264s,PASSED
